Errors for Brill Tagger None

             left context |    word/test->gold     | right context
VBG such/JJ interstate/JJ |    banking/VBG->NN     | soon/RB ,/, immediately/R
oon/RB ,/, immediately/RB |      bid/NN->VBD       | up/RP shares/NNS of/IN Co
BD up/RP shares/NNS of/IN |  Connecticut/NN->NNP   | banks/NNS on/IN the/DT ne
N of/IN the/DT stocks/NNS |      that/IN->WDT      | *T*-117/-NONE- have/VBP b
he/DT stocks/NNS that/WDT |   *T*-117/NN->-NONE-   | have/VBP been/VBN under/I
er/IN water/NN finally/RB |      saw/NN->VBD       | a/DT reason/NN 0/-NONE- *
D *T*-2/-NONE- George/NNP |    Jennison/NN->NNP    | ,/, head/JJ trader/NN of/
orge/NNP Jennison/NNP ,/, |      head/NN->JJ       | trader/NN of/IN banking/N
, head/JJ trader/NN of/IN |    banking/VBG->NN     | issues/NNS in/IN Shearson
man/NNP Hutton/NNP 's/POS |      OTC/NN->NNP       | department/NN ./.
                   The/DT |    biggest/NN->JJS     | beneficiary/NN was/VBD No
/NN was/VBD Northeast/NNP |    Bancorp/NN->NNP     | ,/, which/WDT *T*-118/-NO
Bancorp/NNP ,/, which/WDT |   *T*-118/NN->-NONE-   | surged/VBD 7/CD 3\/4/CD t
18/-NONE- surged/VBD 7/CD |      3\/4/NN->CD       | to/TO 69/CD ./.
VBZ agreed/VBN to/TO a/DT |     buy-out/JJ->NN     | by/IN Bank/NNP of/IN New/
nsaction/NN with/IN an/DT |   indicated/VBD->VBN   | value/NN of/IN about/IN $
 *U*/-NONE- a/DT share/NN |      that/IN->WDT      | *T*-119/-NONE- expires/VB
E- a/DT share/NN that/WDT |   *T*-119/NN->-NONE-   | expires/VBZ next/JJ Augus
N that/WDT *T*-119/-NONE- |    expires/NNS->VBZ    | next/JJ August/NNP ./.
                          |       Ed/NN->NNP       | Macheski/NNP ,/, a/DT Wil
                   Ed/NNP |    Macheski/NN->NNP    | ,/, a/DT Wilton/NNP ,/, C
NNP Macheski/NNP ,/, a/DT |     Wilton/NN->NNP     | ,/, Conn./NNP ,/, money/N
oney/NN manager/NN who/WP |   *T*-120/NN->-NONE-   | follows/VBZ bank/NN stock
e/DT deal/NN ``/`` the/DT |      green/NN->JJ      | light/NN ./. ''/''
                  Mr./NNP |    Jennison/NN->NNP    | said/VBD 0/-NONE- Northea
BD 0/-NONE- Northeast/NNP |    Bancorp/NN->NNP     | also/RB fared/VBD well/RB
ve/VBP returned/VBN to/TO |      favor/NN->VB      | among/IN investors/NNS ./
               Another/DT |      OTC/NN->NNP       | bank/NN stock/NN involved
d/VBN */-NONE- in/IN a/DT |     buy-out/JJ->NN     | deal/NN ,/, First/NNP Con
/NN deal/NN ,/, First/NNP |  Constitution/NN->NNP  | Financial/NNP ,/, was/VBD
          It/PRP rose/VBD |      7\/8/NN->CD       | to/TO 18/CD 1\/4/CD ./.
e/VBD 7\/8/CD to/TO 18/CD |      1\/4/NN->CD       | ./.
                First/NNP |  Constitution/NN->NNP  | has/VBZ signed/VBN a/DT m
NN *ICH*-1/-NONE- with/IN |      WFRR/NN->NNP      | L.P./NNP and/CC GHKM/NNP 
1/-NONE- with/IN WFRR/NNP |      L.P./NN->NNP      | and/CC GHKM/NNP Corp./NNP
 WFRR/NNP L.P./NNP and/CC |      GHKM/NN->NNP      | Corp./NNP ,/, under/IN wh
        Among/IN other/JJ |  Connecticut/NN->NNP   | banks/NNS whose/WP$ share
/NNS whose/WP$ shares/NNS |   *T*-121/NN->-NONE-   | trade/VBP in/IN the/DT OT
shares/NNS *T*-121/-NONE- |     trade/NN->VBP      | in/IN the/DT OTC/NNP mark
E- trade/VBP in/IN the/DT |      OTC/NN->NNP       | market/NN ,/, Society/NNP
NN ,/, Society/NNP for/IN |   Savings/NNS->NNPS    | Bancorp/NNP ,/, based/VBN
y/NNP for/IN Savings/NNPS |    Bancorp/NN->NNP     | ,/, based/VBN */-NONE- in
E- in/IN Hartford/NNP ,/, |      saw/NN->VBD       | its/PRP$ stock/NN rise/VB
RP$ stock/NN rise/VB 1/CD |      3\/4/NN->CD       | to/TO 18/CD 1\/4/CD ./.
 1/CD 3\/4/CD to/TO 18/CD |      1\/4/NN->CD       | ./.
                          |   Centerbank/NN->NNP   | added/VBD 5\/8/CD to/TO 8
 Centerbank/NNP added/VBD |      5\/8/NN->CD       | to/TO 8/CD 3\/4/CD ;/: sh
ed/VBD 5\/8/CD to/TO 8/CD |      3\/4/NN->CD       | ;/: shares/NNS of/IN NESB
4/CD ;/: shares/NNS of/IN |      NESB/NN->NNP      | ,/, a/DT New/NNP London-b
NESB/NNP ,/, a/DT New/NNP |  London-based/VBD->JJ  | bank/NN holding/VBG compa
G company/NN ,/, rose/VBD |      5\/8/NN->CD       | to/TO 5/CD 7\/8/CD ./.
se/VBD 5\/8/CD to/TO 5/CD |      7\/8/NN->CD       | ./.
        Among/IN other/JJ |    banking/VBG->NN     | issues/NNS ,/, Pennview/N
banking/NN issues/NNS ,/, |    Pennview/NN->NNP    | Savings/NNPS Association/
sues/NNS ,/, Pennview/NNP |   Savings/NNS->NNPS    | Association/NNP leapt/VBD
ings/NNPS Association/NNP |     leapt/NN->VBD      | more/JJR than/IN 44/CD %/
Association/NNP leapt/VBD |     more/RBR->JJR      | than/IN 44/CD %/NN with/I
N a/DT gain/NN of/IN 6/CD |      5\/8/NN->CD       | to/TO 21/CD 5\/8/CD ./.
 6/CD 5\/8/CD to/TO 21/CD |      5\/8/NN->CD       | ./.
IN a/DT merger/NN with/IN |    Univest/NN->NNP     | Corp./NNP of/IN Pennsylva
   Valley/NNP Federal/NNP |   Savings/NNS->NNPS    | &/CC Loan/NNP ,/, a/DT Ca
ral/NNP Savings/NNPS &/CC |      Loan/NN->NNP      | ,/, a/DT California/NNP t
ained/VBD 1/CD to/TO 4/CD |      1\/4/NN->CD       | after/IN *-1/-NONE- repor
-NONE- reporting/VBG a/DT |  third-quarter/NN->JJ  | loss/NN of/IN $/$ 70.7/CD
/CD million/CD *U*/-NONE- |     pretax/NN->JJ      | charge/NN mostly/RB relat
ax/JJ charge/NN mostly/RB |    related/VBN->JJ     | to/TO its/PRP$ mobile/JJ 
related/JJ to/TO its/PRP$ |     mobile/NN->JJ      | home/NN financing/VBG uni
ts/PRP$ mobile/JJ home/NN |   financing/NN->VBG    | unit/NN ./.
                          |      Dan/NN->NNP       | E./NNP Nelms/NNP ,/, Vall
           Dan/NNP E./NNP |     Nelms/NNS->NNP     | ,/, Valley/NNP Federal/NN
s/POS president/NN and/CC |      chief/NN->JJ      | executive/NN officer/NN ,
 said/VBD 0/-NONE- the/DT |    one-time/NN->JJ     | charge/NN substantially/R
harge/NN substantially/RB |  eliminates/NNS->VBZ   | future/JJ losses/NNS asso
ntially/RB eliminates/VBZ |     future/NN->JJ      | losses/NNS associated/VBN
 ``/`` assuming/VBG no/DT |    dramatic/NN->JJ     | fluctuation/NN in/IN inte
1/-NONE- to/TO achieve/VB |   near-record/NN->JJ   | earnings/NNS in/IN 1990/C
                          |   Weisfield/NN->NNP    | 's/POS surged/VBD 6/CD 3\
NP 's/POS surged/VBD 6/CD |      3\/4/NN->CD       | to/TO 55/CD 1\/2/CD and/C
o/TO 55/CD 1\/2/CD and/CC |    Ratners/NNS->NNP    | Group/NNP 's/POS American
up/NNP 's/POS American/JJ |   depositary/JJ->NN    | receipts/NNS ,/, or/CC AD
NN receipts/NNS ,/, or/CC |     ADRs/NNPS->NNS     | ,/, gained/VBD 5\/8/CD to
C ADRs/NNS ,/, gained/VBD |      5\/8/NN->CD       | to/TO 12/CD 1\/4/CD ./.
d/VBD 5\/8/CD to/TO 12/CD |      1\/4/NN->CD       | ./.
 entered/VBD into/IN a/DT |   definitive/NN->JJ    | merger/NN agreement/NN un
ent/NN under/IN which/WDT |    Ratners/NNS->NNP    | will/MD begin/VB a/DT ten
er/NN for/IN all/DT of/IN |   Weisfield/NN->NNP    | 's/POS common/JJ shares/N
                          |      Also/NN->RB       | on/IN the/DT takeover/NN 
 takeover/NN front/NN ,/, |     Jaguar/NN->NNP     | 's/POS ADRs/NNPS rose/VBD
's/POS ADRs/NNPS rose/VBD |      1\/4/NN->CD       | to/TO 13/CD 7\/8/CD on/IN
e/VBD 1\/4/CD to/TO 13/CD |      7\/8/NN->CD       | on/IN turnover/NN of/IN 4
/JJ month/NN ,/, its/PRP$ |     ADRs/NNPS->NNS     | have/VBP jumped/VBN about
     After/IN troubled/JJ |    Heritage/NN->NNP    | Media/NNP proposed/VBD *-
 troubled/JJ Heritage/NNP |     Media/NN->NNP      | proposed/VBD *-1/-NONE- a
JJ Heritage/NNP Media/NNP |   proposed/VBN->VBD    | *-1/-NONE- acquiring/VBG 
 *-1/-NONE- acquiring/VBG |      POP/NN->NNP       | Radio/NNP in/IN a/DT stoc
NE- acquiring/VBG POP/NNP |     Radio/NN->NNP      | in/IN a/DT stock/NN swap/
a/DT stock/NN swap/NN ,/, |      POP/NN->NNP       | Radio/NNP 's/POS shares/N
ck/NN swap/NN ,/, POP/NNP |     Radio/NN->NNP      | 's/POS shares/NNS tumbled
bled/VBD 4/CD to/TO 14/CD |      3\/4/NN->CD       | ./.
                          |    Heritage/NN->NNP    | Media/NNP ,/, which/WDT a
             Heritage/NNP |     Media/NN->NNP      | ,/, which/WDT already/RB 
about/IN 51/CD %/NN of/IN |      POP/NN->NNP       | Radio/NNP ,/, proposed/VB
 51/CD %/NN of/IN POP/NNP |     Radio/NN->NNP      | ,/, proposed/VBD *-2/-NON
/IN POP/NNP Radio/NNP ,/, |   proposed/VBN->VBD    | *-2/-NONE- paying/VBG POP
VBD *-2/-NONE- paying/VBG |      POP/NN->NNP       | Radio/NNP shareholders/NN
-NONE- paying/VBG POP/NNP |     Radio/NN->NNP      | shareholders/NNS with/IN 
/DT new/JJ class/NN of/IN |    Heritage/NN->NNP    | Media/NNP preferred/JJ st
ass/NN of/IN Heritage/NNP |     Media/NN->NNP      | preferred/JJ stock/NN tha
IN Heritage/NNP Media/NNP |   preferred/VBN->JJ    | stock/NN that/WDT *T*-122
NNP preferred/JJ stock/NN |      that/IN->WDT      | *T*-122/-NONE- would/MD b
rred/JJ stock/NN that/WDT |   *T*-122/NN->-NONE-   | would/MD be/VB convertibl
 four/CD shares/NNS of/IN |    Heritage/NN->NNP    | Media/NNP 's/POS common/N
es/NNS of/IN Heritage/NNP |     Media/NN->NNP      | 's/POS common/NN ./.
tage/NNP Media/NNP 's/POS |     common/JJ->NN      | ./.
                          |     Rally/RB->NNP      | 's/POS lost/VBN 1/CD 3\/4
         Rally/NNP 's/POS |      lost/NN->VBN      | 1/CD 3\/4/CD to/TO 21/CD 
/NNP 's/POS lost/VBN 1/CD |      3\/4/NN->CD       | to/TO 21/CD 3\/4/CD ./.
 1/CD 3\/4/CD to/TO 21/CD |      3\/4/NN->CD       | ./.
areholder/NN group/NN ,/, |     Giant/NN->NNP      | Group/NNP Ltd./NNP ,/, ``
                          |     Giant/NN->NNP      | Group/NNP is/VBZ led/VBN 
*-1/-NONE- by/IN three/CD |     Rally/RB->NNP      | 's/POS directors/NNS ,/, 
 's/POS directors/NNS ,/, |      Burt/NN->NNP      | Sugarman/NNP ,/, James/NN
irectors/NNS ,/, Burt/NNP |    Sugarman/NN->NNP    | ,/, James/NNP M./NNP Trot
/NNP ,/, James/NNP M./NNP |    Trotter/NN->NNP     | III/NNP and/CC William/NN
and/CC William/NNP E./NNP |    Trotter/NN->NNP     | II/NNP ,/, who/WP earlier
ter/NNP II/NNP ,/, who/WP |    earlier/JJR->RB     | this/DT month/NN *T*-2/-N
.5/CD %/NN stake/NN in/IN |     Rally/RB->NNP      | 's/POS and/CC planned/VBD
N Rally/NNP 's/POS and/CC |    planned/VBN->VBD    | *-3/-NONE- to/TO seek/VB 
/NN of/IN seats/NNS on/IN |     Rally/RB->NNP      | 's/POS nine-member/JJ boa
NS on/IN Rally/NNP 's/POS |   nine-member/NN->JJ   | board/NN ./.
                          |      SCI/NN->NNP       | Systems/NNP slipped/VBD 7
                  SCI/NNP |    Systems/NNS->NNP    | slipped/VBD 7\/8/CD to/TO
P Systems/NNP slipped/VBD |      7\/8/NN->CD       | to/TO 10/CD on/IN volume/
                   The/DT |   Huntsville/NN->NNP   | ,/, Ala./NNP ,/, electron
The/DT Huntsville/NNP ,/, |      Ala./NN->NNP      | ,/, electronic/JJ product
' loss/NN for/IN its/PRP$ |     fiscal/NN->JJ      | first/JJ quarter/NN ended
al/JJ first/JJ quarter/NN |     ended/VBD->VBN     | Sept./NNP 30/CD ./.
t/JJ quarter/NN ended/VBN |     Sept./NN->NNP      | 30/CD ./.
             In/IN the/DT |  year-earlier/NN->JJ   | period/NN ,/, SCI/NNP had
-earlier/JJ period/NN ,/, |      SCI/NN->NNP       | had/VBD net/JJ income/NN 
                   The/DT |    Internal/NN->NNP    | Revenue/NNP Service/NNP h
      The/DT Internal/NNP |    Revenue/NN->NNP     | Service/NNP has/VBZ threa
NP has/VBZ threatened/VBN |    criminal/NN->JJ     | sanctions/NNS against/IN 
nst/IN lawyers/NNS who/WP |   *T*-123/NN->-NONE-   | fail/VBP *-1/-NONE- to/TO
NNS who/WP *T*-123/-NONE- |      fail/VB->VBP      | *-1/-NONE- to/TO report/V
-1/-NONE- to/TO report/VB |    detailed/VBD->JJ    | information/NN about/IN c
out/IN clients/NNS who/WP |   *T*-124/NN->-NONE-   | pay/VBP them/PRP more/JJR
NNS who/WP *T*-124/-NONE- |      pay/VB->VBP       | them/PRP more/JJR than/IN
4/-NONE- pay/VBP them/PRP |     more/RBR->JJR      | than/IN $/$ 10,000/CD *U*
 members/NNS of/IN the/DT |   organized/VBD->JJ    | bar/NN ,/, who/WP *T*-125
ized/JJ bar/NN ,/, who/WP |   *T*-125/NN->-NONE-   | claim/VBP 0/-NONE- the/DT
,/, who/WP *T*-125/-NONE- |     claim/NN->VBP      | 0/-NONE- the/DT informati
cted/VBN *-1/-NONE- by/IN | attorney-client/NN->JJ | privilege/NN ./.
                   The/DT |      IRS/NN->NNP       | warnings/NNS stem/VBP fro
e/DT IRS/NNP warnings/NNS |      stem/NN->VBP      | from/IN a/DT 1984/CD law/
ires/VBZ anyone/NN who/WP |   *T*-126/NN->-NONE-   | receives/VBZ more/JJR tha
/NN who/WP *T*-126/-NONE- |   receives/NNS->VBZ    | more/JJR than/IN $/$ 10,0
*-126/-NONE- receives/VBZ |     more/RBR->JJR      | than/IN $/$ 10,000/CD *U*
mer/NN in/IN one/CD or/CC |     more/RBR->JJR      | related/JJ transactions/N
/IN one/CD or/CC more/JJR |    related/VBN->JJ     | transactions/NNS ``/`` in
C business/NN ''/'' to/TO |     report/NN->VB      | the/DT payment/NN on/IN a
ent/NN 's/POS name/NN ,/, |     Social/NN->NNP     | Security/NNP number/NN ,/
OS name/NN ,/, Social/NNP |    Security/NN->NNP    | number/NN ,/, passport/NN
,/, when/WRB Congress/NNP |  determined/VBN->VBD   | that/IN the/DT crime/NN w
ny/NN punishable/JJ by/IN |       up/RB->IN        | to/TO 10/CD years/NNS in/
out/IN clients/NNS who/WP |   *T*-127/NN->-NONE-   | do/VBP n't/RB wish/VB the
-127/-NONE- do/VBP n't/RB |      wish/NN->VB       | their/PRP$ identities/NNS
JJ forms/NNS to/TO the/DT |      IRS/NN->NNP       | in/IN recent/JJ years/NNS
,/, *-1/-NONE- citing/VBG | attorney-client/NN->JJ | privilege/NN ./.
ast/JJ week/NN ,/, the/DT |      IRS/NN->NNP       | rarely/RB acted/VBD on/IN
/'' said/VBD *T*-1/-NONE- |      Neal/NN->NNP      | R./NNP Sonnett/NNP ,/, pr
-1/-NONE- Neal/NNP R./NNP |    Sonnett/NN->NNP     | ,/, president/NN of/IN th
NNP Association/NNP of/IN |    Criminal/NN->NNP    | Defense/NNP Lawyers/NNPS 
on/NNP of/IN Criminal/NNP |    Defense/NN->NNP     | Lawyers/NNPS ./.
 Criminal/NNP Defense/NNP |   Lawyers/NNS->NNPS    | ./.
             ``/`` The/DT |      IRS/NN->NNP       | is/VBZ asking/VBG lawyers
E- to/TO red-flag/VB a/DT |    criminal/NN->JJ     | problem/NN to/TO the/DT g
, ''/'' added/VBD Mr./NNP |    Sonnett/NN->NNP     | ,/, a/DT Miami/NNP lawyer
/NNP Sonnett/NNP ,/, a/DT |     Miami/NN->NNP      | lawyer/NN who/WP *T*-128/
iami/NNP lawyer/NN who/WP |   *T*-128/NN->-NONE-   | has/VBZ heard/VBN from/IN
f/IN attorneys/NNS who/WP |   *T*-129/NN->-NONE-   | received/VBD letters/NNS 
NNS who/WP *T*-129/-NONE- |   received/VBN->VBD    | letters/NNS in/IN recent/
f/PRP received/VBD the/DT | computer-generated/VBD->JJ | IRS/NNP forms/NNS sent/VB
/DT computer-generated/JJ |      IRS/NN->NNP       | forms/NNS sent/VBN */-NON
ated/JJ IRS/NNP forms/NNS |      sent/NN->VBN      | */-NONE- by/IN certified/
S sent/VBN */-NONE- by/IN |   certified/VBD->JJ    | mail/NN ./.
                  Mr./NNP |    Sonnett/NN->NNP     | said/VBD that/IN clients/
hat/IN clients/NNS who/WP |   *T*-130/NN->-NONE-   | pay/VBP cash/NN may/MD in
NNS who/WP *T*-130/-NONE- |      pay/VB->VBP       | cash/NN may/MD include/VB
cash/NN may/MD include/VB |    alleged/VBD->VBN    | drug/NN dealers/NNS who/W
rug/NN dealers/NNS who/WP |   *T*-131/NN->-NONE-   | do/VBP n't/RB have/VB dom
ve/VB domestic/JJ bank/NN |   accounts/VBZ->NNS    | ./.
tion/NN when/WRB they/PRP |      hire/NN->VBP      | lawyers/NNS *T*-1/-NONE- 
                  Mr./NNP |    Sonnett/NN->NNP     | said/VBD 0/-NONE- there/E
/PRP had/VBD retained/VBN |    criminal/NN->JJ     | defense/NN lawyers/NNS *T
-NONE- Filling/VBG out/RP |    detailed/VBD->JJ    | forms/NNS about/IN these/
NS would/MD tip/VB the/DT |      IRS/NN->NNP       | off/RP and/CC spark/VB ac
/DT IRS/NNP off/RP and/CC |      spark/NN->VB      | action/NN against/IN the/
/NNP York/NNP attorney/NN |     Gerald/NN->NNP     | Lefcourt/NNP ,/, 0/-NONE-
NP attorney/NN Gerald/NNP |    Lefcourt/NN->NNP    | ,/, 0/-NONE- *T*-2/-NONE-
                   The/DT |    American/JJ->NNP    | Bar/NNP Association/NNP '
      The/DT American/NNP |      Bar/NN->NNP       | Association/NNP 's/POS Ho
NP 's/POS House/NNP of/IN |  Delegates/NNS->NNPS   | passed/VBD a/DT resolutio
/NNP of/IN Delegates/NNPS |    passed/VBN->VBD     | a/DT resolution/NN *ICH*-
/CD condemning/VBG the/DT |      IRS/NN->NNP       | reporting/NN requirement/
emning/VBG the/DT IRS/NNP |   reporting/VBG->NN    | requirement/NN ./.
York/NNP lawyer/NN who/WP |   *T*-132/NN->-NONE-   | heads/VBZ the/DT ABA/NNP 
2/-NONE- heads/VBZ the/DT |      ABA/NN->NNP       | 's/POS grand/JJ jury/NN c
VBZ the/DT ABA/NNP 's/POS |      grand/NN->JJ      | jury/NN committee/NN ,/, 
N *-1/-NONE- by/IN the/DT |      ABA/NN->NNP       | 's/POS code/NN of/IN ethi
N where/WRB a/DT court/NN |    orders/NNS->VBZ     | it/PRP *T*-3/-NONE- or/CC
NONE- committing/VBG a/DT |    criminal/NN->JJ     | act/NN that/WDT *T*-2/-NO
ting/VBG a/DT criminal/JJ |       act/VB->NN       | that/WDT *T*-2/-NONE- cou
fficials/NNS of/IN the/DT |      IRS/NN->NNP       | and/CC the/DT Justice/NNP
/DT IRS/NNP and/CC the/DT |    Justice/NN->NNP     | Department/NNP ,/, which/
artment/NNP ,/, which/WDT |   *T*-133/NN->-NONE-   | would/MD bring/VB any/DT 
                    At/IN |      that/IN->DT       | meeting/NN ,/, he/PRP sai
- *T*-1/-NONE- ,/, the/DT |    Justice/NN->NNP     | Department/NNP assured/VB
 attorneys/NNS without/IN |    further/RBR->JJ     | review/NN and/CC advance/
oss/NNP said/VBD 0/-NONE- |      IRS/NN->NNP       | officials/NNS opposed/VBD
NE- IRS/NNP officials/NNS |    opposed/VBN->VBD    | the/DT Justice/NNP Depart
ls/NNS opposed/VBD the/DT |    Justice/NN->NNP     | Department/NNP 's/POS mod
NNP Department/NNP 's/POS |    moderate/NN->JJ     | stance/NN on/IN the/DT ma
 in/IN the/DT letters/NNS |      sent/NN->VBN      | */-NONE- in/IN recent/JJ 
IN recent/JJ days/NNS ,/, |  Christopher/NN->NNP   | J./NNP Lezovich/NNP of/IN
/, Christopher/NNP J./NNP |    Lezovich/NN->NNP    | of/IN the/DT IRS/NNP comp
Lezovich/NNP of/IN the/DT |      IRS/NN->NNP       | computing/NN center/NN in
puting/NN center/NN in/IN |    Detroit/NN->NNP     | ,/, told/VBD attorneys/NN
ONE- to/TO voluntarily/RB |     submit/NN->VB      | the/DT requested/VBN info
 could/MD result/VB in/IN |    summons/NNS->NN     | enforcement/NN action/NN 
nt/NN action/NN being/VBG |   initiated/VBD->VBN   | *-2/-NONE- ./. ''/''
e/DT cases/NNS ,/, the/DT |      IRS/NN->NNP       | asked/VBD for/IN informat
information/NN dating/VBG |      back/NN->RB       | to/TO forms/NNS 0/-NONE- 
pokesman/NN for/IN the/DT |      IRS/NN->NNP       | confirmed/VBD that/IN ``/
/NN for/IN the/DT IRS/NNP |   confirmed/VBN->VBD   | that/IN ``/`` there/EX ha
e/DT letters/NNS were/VBD |      sent/NN->VBN      | *-2/-NONE- to/TO lawyers/
          Individuals/NNS |    familiar/NN->JJ     | with/IN the/DT Justice/NN
amiliar/JJ with/IN the/DT |    Justice/NN->NNP     | Department/NNP 's/POS pol
olicy/NN said/VBD that/IN |     Justice/NN->JJ     | officials/NNS had/VBD n't
knowledge/NN of/IN the/DT |      IRS/NN->NNP       | 's/POS actions/NNS in/IN 
 about/IN clients/NNS ,/, |      that/IN->DT       | data/NN could/MD quickly/
N clients/NNS ,/, that/DT |      data/NNS->NN      | could/MD quickly/RB end/V
ta/NN could/MD quickly/RB |       end/NN->VB       | up/RP in/IN the/DT hands/
          Prosecutors/NNS |     need/VBD->VBP      | court/NN permission/NN *-
O obtain/VB the/DT tax/NN |    returns/VBZ->NNS    | of/IN an/DT individual/NN
N returns/NNS of/IN an/DT |   individual/JJ->NN    | or/CC a/DT business/NN ./
PRP have/VBP obtained/VBN |      8300/CD->JJ       | forms/NNS without/IN cour
t/NN permission/NN and/CC |     used/VBN->VBD      | the/DT information/NN *-1
 *-1/-NONE- to/TO help/VB |     develop/NN->VB     | criminal/JJ cases/NNS ./.
 to/TO help/VB develop/VB |    criminal/NN->JJ     | cases/NNS ./.
                  Some/DT |    criminal/NN->JJ     | lawyers/NNS speculated/VB
T criminal/JJ lawyers/NNS |  speculated/VBN->VBD   | that/IN the/DT IRS/NNP wa
ulated/VBD that/IN the/DT |      IRS/NN->NNP       | was/VBD sending/VBG the/D
ients/NNS should/MD be/VB |  confidential/NN->JJ   | ./.
                          |       THE/NN->DT       | WAR/NN OVER/IN FEDERAL/JJ
            THE/DT WAR/NN |      OVER/NN->IN       | FEDERAL/JJ JUDICIAL/JJ SA
    THE/DT WAR/NN OVER/IN |     FEDERAL/NN->JJ     | JUDICIAL/JJ SALARIES/NNS 
WAR/NN OVER/IN FEDERAL/JJ |    JUDICIAL/NN->JJ     | SALARIES/NNS takes/VBZ a/
IN FEDERAL/JJ JUDICIAL/JJ |    SALARIES/NN->NNS    | takes/VBZ a/DT victim/NN 
                          |      Often/NN->RB      | ,/, judges/NNS ease/VBP i
ease/VBP into/IN more/RBR |    lucrative/NN->JJ    | private/JJ practice/NN wi
t/RB federal/JJ Judge/NNP |      Raul/NN->NNP      | A./NN Ramirez/NNP in/IN S
ral/JJ Judge/NNP Raul/NNP |       A./NNP->NN       | Ramirez/NNP in/IN Sacrame
 Judge/NNP Raul/NNP A./NN |    Ramirez/NN->NNP     | in/IN Sacramento/NNP ,/, 
P A./NN Ramirez/NNP in/IN |   Sacramento/NN->NNP   | ,/, Calif/NNP ./.
 in/IN Sacramento/NNP ,/, |     Calif/NN->NNP      | ./.
y/NNP ,/, the/DT judge/NN |    called/VBN->VBD     | a/DT news/NN conference/N
VBG */-NONE- effective/JJ |      Dec./NNP->NN      | 31/CD *-2/-NONE- to/TO jo
-NONE- to/TO join/VB a/DT |      San/NN->NNP       | Francisco/NNP law/NN firm
o/TO join/VB a/DT San/NNP |   Francisco/NN->NNP    | law/NN firm/NN ./.
 ,/, and/CC I/PRP was/VBD |     afraid/NN->JJ      | 0/-NONE- I/PRP was/VBD go
                          |    Federal/NNP->JJ     | judges/NNS make/VBP $/$ 8
uary/NNP ,/, Congress/NNP |   rejected/VBN->VBD    | a/DT bill/NN that/WDT *T*
1/-NONE- would/MD have/VB |   increased/VBD->VBN   | their/PRP$ pay/NN by/IN 5
 increased/VBN their/PRP$ |       pay/VB->NN       | by/IN 50/CD %/NN ./.
                Judge/NNP |    Ramirez/NN->NNP     | ,/, 44/CD ,/, said/VBD 0/
PRP *EXP*-3/-NONE- is/VBZ |     unjust/NN->JJ      | for/IN judges/NNS to/TO m
                  You/PRP |      look/NN->VBP      | around/RP at/IN professio
         You/PRP look/VBP |     around/IN->RP      | at/IN professional/JJ bal
 look/VBP around/RP at/IN |  professional/NN->JJ   | ballplayers/NNS or/CC acc
NS .../: and/CC nobody/NN |    blinks/NNS->VBZ     | an/DT eye/NN ./.
         When/WRB you/PRP |    become/VBD->VBP     | a/DT federal/JJ judge/NN 
NE- ,/, all/DT of/IN a/DT |     sudden/NN->JJ      | you/PRP are/VBP relegated
VBN *-2/-NONE- to/TO a/DT |     paltry/NN->JJ      | sum/NN ./. ''/''
itigation/NN in/IN the/DT |   Sacramento/NN->NNP   | office/NN of/IN Orrick/NN
mento/NNP office/NN of/IN |     Orrick/NN->NNP     | ,/, Herrington/NNP &/CC S
e/NN of/IN Orrick/NNP ,/, |   Herrington/NN->NNP   | &/CC Sutcliffe/NNP ,/, he
P ,/, Herrington/NNP &/CC |   Sutcliffe/NN->NNP    | ,/, he/PRP will/MD make/V
2/-NONE- to/TO be/VB a/DT |  high-priced/VBN->JJ   | lawyer/NN ./. ''/''
                          |   DOONESBURY/NN->NNP   | CREATOR'S/NN UNION/NN TRO
NNP CREATOR'S/NN UNION/NN |    TROUBLES/NN->NNS    | are/VBP no/DT laughing/JJ
ROUBLES/NNS are/VBP no/DT |    laughing/VBG->JJ    | matter/NN ./.
            Cartoonist/NN |     Garry/NN->NNP      | Trudeau/NNP is/VBZ suing/
  Cartoonist/NN Garry/NNP |    Trudeau/NN->NNP     | is/VBZ suing/VBG the/DT W
P is/VBZ suing/VBG the/DT |   Writers/NNS->NNPS    | Guild/NNP of/IN America/N
g/VBG the/DT Writers/NNPS |     Guild/NN->NNP      | of/IN America/NNP East/NN
ters/NNPS Guild/NNP of/IN |    America/NN->NNP     | East/NNP for/IN $/$ 11/CD
ild/NNP of/IN America/NNP |      East/JJ->NNP      | for/IN $/$ 11/CD million/
ampaign/NN */-NONE- to/TO |     harass/NNS->VB     | and/CC punish/VB ''/'' hi
E- to/TO harass/VB and/CC |     punish/NN->VB      | ''/'' him/PRP for/IN */-N
        The/DT dispute/NN |   involves/NNS->VBZ    | Darkhorse/NNP Productions
T dispute/NN involves/VBZ |   Darkhorse/NN->NNP    | Productions/NNPS Inc./NNP
nvolves/VBZ Darkhorse/NNP | Productions/NNS->NNPS  | Inc./NNP ,/, a/DT TV/NN p
N in/IN which/WDT Mr./NNP |    Trudeau/NN->NNP     | is/VBZ a/DT co-owner/NN *
                  Mr./NNP |    Trudeau/NN->NNP     | ,/, a/DT Writers/NNPS Gui
/NNP Trudeau/NNP ,/, a/DT |   Writers/NNS->NNPS    | Guild/NNP member/NN ,/, a
